	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000101132	1.73110101	0.028639603	1.5346613	1.4407843	0.467917807	1
ENSG00000101138	1.907533467	0	0.6180662	2.4726012	1.202874833	7
ENSG00000087589	1.21491679	0	1.1611816	3.1070583	2.6974731	6
ENSG00000022277	4.0646063	2.0215578	2.989746	5.044059	3.307409267	7
ENSG00000124103	4.149824867	2.4719865	2.9246578	4.30362	3.3935437	7
ENSG00000101146	2.651913	0	0.9778524	2.2607484	0.781931267	1
ENSG00000218018	1.603981267	0.76304495	1.8775964	2.285051	0.8613169	3
ENSG00000132819	4.447240967	4.0013046	5.0846	4.418243	4.124136333	3
ENSG00000124209	1.110098743	0	0.40032482	2.3842614	1.101525733	6
ENSG00000124164	1.8163049	0	0.22285296	2.3491127	0.807802667	7
ENSG00000124222	3.4095361	2.0578792	2.6831605	4.0513167	1.9200811	3
ENSG00000254995	3.868077667	5.3581333	5.705823	4.6352916	2.689175067	4
ENSG00000215440	1.427876047	2.67639	2.110434	0	1.143527067	4
ENSG00000087460	5.694497567	3.4319725	4.224815	3.9031656	3.161662433	2
ENSG00000101158	3.6176967	1.2788359	2.3687208	2.8502169	1.463425733	1
ENSG00000101160	1.97162811	3.2788043	4.5457354	6.0039163	4.305964133	6
ENSG00000124172	3.5181242	0.82414556	3.176099	2.5566385	2.7853421	1
ENSG00000101166	2.981782433	0	1.0158914	3.3249571	1.559650567	7
ENSG00000132825	0.207062913	0	0.27134377	2.6713164	1.4647077	6
ENSG00000130699	1.211178533	0	0.22165659	1.6279936	0.036665147	7
ENSG00000149657	3.930595933	1.7490475	2.6208026	3.6161966	1.696335167	1
ENSG00000101182	5.3795958	3.2163963	3.987557	3.6083775	2.897015433	2
ENSG00000184402	0.48092268	0.7899743	1.3856156	0.6302732	0.086247323	4
ENSG00000101181	2.425545967	1.9263803	1.7227249	0.97733676	1.143716933	5
ENSG00000130703	1.426469833	0.4539567	1.2786129	3.4092996	1.905604767	6
ENSG00000130706	4.786826533	4.5921803	4.277693	2.1790469	3.006675767	5
ENSG00000171858	7.762645067	5.4100556	6.2941723	3.3360248	3.786156333	5
ENSG00000149679	2.4161213	0	0.10677122	1.4483142	0.4273543	1
ENSG00000101189	2.918266067	0.5739753	2.0976572	0.5928279	0.9446606	2
ENSG00000060491	3.635458	4.0841274	4.0819006	2.290685	3.069600133	4
ENSG00000101190	3.002191367	0.21918654	2.4979248	1.7844509	0.74997025	1
ENSG00000101191	3.724322133	3.5251615	3.9571123	3.5178561	1.9243091	2
ENSG00000101193	4.2106689	2.2477865	2.9957721	4.3332286	2.108017833	1
ENSG00000101194	2.6809893	0	0	0	0	2
ENSG00000149658	4.060086833	3.0643203	3.8146641	4.1576304	2.283812	3
ENSG00000101199	3.064437167	3.7134187	3.4847503	1.2314256	1.2362289	4
ENSG00000130589	2.734137067	4.5287104	4.089194	1.8922893	2.662786833	4
ENSG00000101216	3.1168984	2.965856	3.2340696	1.3296224	1.4552115	5
ENSG00000197457	5.910055767	6.7910256	6.3198447	0	1.360956133	4
ENSG00000258366	1.743588867	2.3012764	2.3490252	0.41964713	0	4
ENSG00000026036	1.5059128	2.3801672	2.2977834	0.3550682	0	4
ENSG00000101246	2.609627333	2.5482402	2.460548	1.5872406	0.5510093	5
ENSG00000197114	1.959772967	2.2686617	2.3330004	0.896349	1.113164333	4
ENSG00000273154	4.896943767	5.9120665	5.131319	0.17771363	2.007786867	4
ENSG00000125520	4.540371967	5.196079	4.7348237	1.5043529	2.027304633	4
ENSG00000268858	2.322352	2.551553	2.3357415	2.4810338	1.567075567	2
ENSG00000101150	4.258158833	3.3609152	3.776463	3.822427	3.632142167	1
ENSG00000101152	4.007428367	3.326293	3.7170603	4.877549	2.9902757	3
ENSG00000198276	3.9983582	3.956065	3.7246916	2.2857614	1.043882033	5
ENSG00000280213	0.2064907	2.1043515	1.7115457	1.0499288	0.378487467	4
ENSG00000196700	4.107377567	3.9397686	4.0374274	0.72373635	0.186226478	5
ENSG00000101161	5.676678867	4.617223	4.944284	4.386707	3.0043618	2
ENSG00000171703	3.136242667	3.3137534	2.9204452	1.4221424	0.919893033	5
ENSG00000171700	4.145223633	4.6342154	4.7396297	3.6315567	3.997897633	4
ENSG00000125510	0.7552763	1.6126027	1.5075288	0.98728365	2.022730033	4
ENSG00000203880	3.523124067	1.4075412	2.4860737	2.3757937	1.513080367	1
ENSG00000280071	2.787551167	1.9837468	1.8043122	1.6708252	0.283364513	2
ENSG00000276612	3.263672467	1.8298616	1.7717166	1.5581692	0.6091871	2
ENSG00000275464	0.943516807	0.22220825	0.14162618	0	0	2
ENSG00000275895	2.286910867	0.16243328	1.4336693	3.9015412	0.97603842	7
ENSG00000278996	4.550045467	4.648046	4.625926	0.113835305	0.465165477	4
ENSG00000280800	6.317008167	7.180922	6.6589956	4.815758	4.439319767	4
ENSG00000155304	2.6663056	0	1.0033892	3.896678	1.02107602	7
ENSG00000155307	2.065255067	0	1.5309271	6.0065746	2.2369376	6
ENSG00000154642	0.559180667	0	0.54928774	1.7676018	0.667658233	6
