GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000103126	3.59	4.18	3.08	4.14	2.87
ENSG00000086504	3.41	1.95	2.13	2.43	3.16
ENSG00000007541	2.63	4.33	3.33	2.67	2.24
ENSG00000282907	1.63	2.89	3.11	2.79	1.16
ENSG00000172366	2.97	5.16	3.5	2.51	2.82
ENSG00000007545	2.22	3.64	2.83	2.22	2.16
ENSG00000197774	5.7	7.1	4.35	5.68	5.71
ENSG00000162032	1.88	4.13	2.59	2.11	1.39
ENSG00000085644	2.42	4.04	3.01	3.28	3.09
ENSG00000187555	0.1	1.71	1.27	1.07	0
ENSG00000140694	4.22	4.92	4.26	4.52	4.4
ENSG00000103429	1.8	3.39	1.74	2.55	3.8
ENSG00000085721	2.26	4.97	3.42	4.55	3.09
ENSG00000170540	2.71	5.07	2.73	3.97	4.08
ENSG00000169246	4.9	3.99	3.88	3.87	5.11
ENSG00000180747	1.49	2.57	2.41	2.19	1.82
ENSG00000258186	2	3.21	2.61	3.87	3.18
ENSG00000122257	1.21	2.73	2.31	0.36	0.56
ENSG00000103502	2.46	4.48	3.39	4.09	3.45
ENSG00000169221	4.61	5.65	4.43	5.51	4.77
ENSG00000260899	0.45	2.95	1.47	2.03	0
ENSG00000103549	2.34	4.27	2.78	2.72	2.77
ENSG00000280211	2.89	4.69	3.25	4.07	3.81
ENSG00000103037	2.19	3.31	2.64	2.96	3.5
ENSG00000089505	2.47	3.78	2.46	3.44	2.86
ENSG00000168701	0.64	2.89	2.01	1.05	0.82
ENSG00000157349	2.44	5.54	3.82	3.26	2.98
ENSG00000180917	1.75	3.93	3.23	1.35	1.85
ENSG00000140836	5.06	2.95	2.36	0.71	4.15
ENSG00000131143	6.96	6.69	6.17	6.93	5.54
ENSG00000132376	2.18	4.23	3.14	2.95	1.48
ENSG00000267532	1.65	3.11	1.95	2.37	2.13
ENSG00000181222	1.16	2.94	1.54	1.19	1.18
ENSG00000170043	2.46	3.4	2.9	3.29	2.97
ENSG00000196544	1.4	3.77	2.39	1.82	2.07
ENSG00000177427	1.68	2.28	1.36	0.82	1.09
ENSG00000179761	6.85	6.94	5.84	7.17	5.89
ENSG00000108651	0.69	3.35	2.18	0.43	0.46
ENSG00000275700	2.63	4.29	3.27	2.95	4.26
ENSG00000126353	0.24	0.6	0.32	0	0
ENSG00000108784	3.62	2.96	3.06	3.14	4.21
ENSG00000068120	1.36	1.71	1.51	1.73	2.2
ENSG00000141699	1.61	2.26	1.03	1.99	1.21
ENSG00000087152	2.91	2.63	2.98	5.33	2.86
ENSG00000159202	2.25	0.91	2.56	2.85	0
ENSG00000121067	2.4	3	2.24	1.89	2.71
ENSG00000121104	0.89	1.39	0.26	0.49	1.46
ENSG00000170836	2.19	3.04	2.44	3.02	1.85
ENSG00000108654	2.67	2.89	3.11	1.83	2.36
ENSG00000258890	1.59	2.8	2.02	1.98	2.23
ENSG00000108854	9.02	7.49	9.95	8.56	5.78
ENSG00000141540	3.72	2.9	2.45	3.85	3.48
ENSG00000161509	3.79	2.39	1.82	2.51	5.12
ENSG00000129646	1.99	1.95	1.36	2.25	1.92
ENSG00000035862	1.3	0.73	2.04	1.72	0
ENSG00000167302	2.09	0.35	1.18	2.96	1.08
ENSG00000185298	0.95	1.21	0.45	0.8	1.95
ENSG00000262049	3.95	2.09	3.7	4.07	3.88
ENSG00000262413	3.83	1.84	2.44	4.24	4.03
ENSG00000169733	0.26	0.99	1.46	0	0.01
ENSG00000176155	0.94	0	0.13	2.39	2.12
ENSG00000141446	3.6	2.47	2.55	3.61	3.82
ENSG00000158201	2.56	1.51	1.97	2.48	1.57
ENSG00000134758	0	0	0	0	0
ENSG00000186812	4.26	2.95	3.59	3.42	3.8
ENSG00000172466	4.33	4.03	4.28	3.55	4.54
ENSG00000150477	2.94	3.25	3.42	3.68	1.76
ENSG00000078142	6.14	6.24	5.88	7.17	7.43
ENSG00000152217	1.99	3.29	2.23	2.84	2.54
ENSG00000078043	1.61	3.11	2.01	2.27	1.31
ENSG00000150637	4.59	3.03	2.78	4.22	3.48
ENSG00000166347	3.17	4.62	3.53	2.22	0
ENSG00000115266	3.46	2.47	2.49	2.79	2.07
ENSG00000129911	3.77	3.58	2.57	4.05	4.17
ENSG00000141873	0.88	0	0.55	1.69	0.4
ENSG00000125912	0.93	0.68	0.56	0.78	0.89
ENSG00000167657	5.48	5.84	4.67	5.89	6.81
ENSG00000126934	2.99	1.67	2.39	2.51	2.05
ENSG00000223547	1.81	0.67	0.55	2.23	1.78
ENSG00000105583	1.91	2.58	1.75	1.17	0
ENSG00000095066	0.63	1.5	1.09	1.41	0.37
ENSG00000105613	0.94	0.59	1.44	0.46	0.85
ENSG00000179271	2.89	2.54	2.08	2.81	2.94
ENSG00000072062	3.65	4.2	2.53	3.83	4.89
ENSG00000141867	1.45	1.86	2.04	1.3	1.3
ENSG00000160117	2.28	1.76	1.5	2.28	2.02
ENSG00000105701	4.71	4.59	4.3	4.8	4.84
ENSG00000196268	2.55	4.4	3.06	3.07	2.34
ENSG00000105186	3.39	4.91	4.08	4.61	4.01
ENSG00000076650	5.33	6.56	5.1	6.11	6.03
ENSG00000153879	1.61	3.33	2.47	2.34	1.34
ENSG00000272333	1.64	2.71	1.77	1.25	0
ENSG00000280194	4.35	4.18	3.66	5.22	4.67
ENSG00000126247	2.88	5.77	4.14	4.34	4.8
ENSG00000196967	1.96	2.08	1.8	1.87	0.97
ENSG00000099338	2.65	3.63	2.81	3.6	3
ENSG00000104825	3.69	2.83	4.52	4.42	6.72
ENSG00000196235	1.13	2.83	1.78	1.79	2.03
ENSG00000086544	0.51	0.86	0.23	0.79	0
ENSG00000255730	3.11	1.88	2.2	4.02	4.71
ENSG00000105755	2.4	3.2	2.12	2.77	2.65
ENSG00000124459	1.52	0.42	1.07	1.5	1.74
ENSG00000167384	6.91	5.46	6.07	5.6	4.7
ENSG00000104853	0	0	0.36	0.82	0
ENSG00000142252	1.2	0	0.74	0.14	1.46
ENSG00000125744	7.14	5.94	6.41	6.4	4.98
ENSG00000125746	0.97	3	2.01	1.37	1.14
ENSG00000130749	1.96	2.51	1.93	2.21	1.97
ENSG00000279861	3.22	3.58	3.55	3.6	2.98
ENSG00000104805	0.46	2.05	2.23	1.24	0
ENSG00000126453	2.22	1.98	2.44	2.89	1.03
ENSG00000204673	3.19	3.84	3.79	4.47	2.02
ENSG00000142528	3.47	4.05	3.09	4.87	3.3
ENSG00000105497	3.62	3.28	3.42	4.6	3.62
ENSG00000196214	1.83	2.45	1.55	2.86	1.97
ENSG00000167562	7.3	8.78	8.4	9.67	8.93
ENSG00000198538	0.47	0	0.59	0.69	0.88
ENSG00000197497	1.74	1.87	2.07	1.8	1.55
ENSG00000130844	3.76	3.94	3.52	3.67	2.72
ENSG00000125503	1.77	0.7	1.52	2.23	0.69
ENSG00000261221	1.17	0.6	1	0	1.07
ENSG00000196263	1.3	1.86	1.63	1.05	0.11
ENSG00000204524	8.71	6.96	8.07	7.65	6.32
ENSG00000269026	0	0.54	0.34	0.3	0
