GeneID	SH-CON-1	SH-CON-2	SH-CON-3	SH-CON-4	SH-CON-5	SH-NAC-1	SH-NAC-2	SH-NAC-3	SH-NAC-4	SH-NAC-5	SH-H-1	SH-H-2	SH-H-3	SH-H-4	SH-H-5	SH-10-1	SH-10-2	SH-10-3	SH-10-4	SH-10-5	SH-100-1	SH-100-2	SH-100-3	SH-100-4	SH-100-5	SH-103-1	SH-103-2	SH-103-3	SH-103-4	SH-103-5
C17714	119175365	226043517	122782054	131280452	34791250	119272553	89844255	30424945	31398916	122433640	92804761	247887151	446016031	31305900	32385431	89573328	113155114	88606208	27362624	25794620	213734923	168322781	173181876	36113867	157371291	36459352	149552210	130441901	35626103	129773530
C00712	27372426	27050626	26549182	27590882	26809777	17939899	19362032	18847536	18017002	19428132	21180833	23119150	21378519	20509108	21396060	16186416	17694805	17015955	17824702	17724060	17047577	16716821	18432083	16902133	18969545	21358792	21422728	22490816	20578561	21586150
C02862	16102598	14458252	14449640	14621261	16320094	14759169	15799555	14033098	14985690	14684595	14289845	15963794	14846280	14338202	15795172	13902101	14881506	14309562	14106517	13825736	14612222	13997194	15083399	14122821	14794704	15318160	15294950	13444632	13847966	14692548
C00670	4035604349	3977455322	4069207161	4189062729	3991369603	2370805466	2370840436	2351923764	2219603974	2343265349	3740562722	3557564627	3764123699	3849981301	3660212281	1410429144	1417546165	1321727735	1324721035	1345566499	4028816203	3856851072	4242599778	4217623650	3929307705	9227361876	9130979444	9478113924	9873101647	9299261344
C16427	9531090	30177396	34698178	9208690	29752145	39906857	44866267	43137269	31699946	44745222	10933547	3803897	11054686	14208168	3546041	10339415	3014271	8518150	3073021	9186387	63745964	66658862	29598737	60530008	42611416	5848426	25081994	6748953	6299385	23103603
C04581	43698671	44555974	50360162	51838118	46686418	80138517	81676863	90098471	74324171	85542308	23771418	22826001	25107886	6335981	16443201	28176307	24504183	24730430	6397587	6145477	54831351	63710100	60618965	50358797	63063912	9689668	2677858	9594338	2998187	2266443
C09538	4878799	4135841	4490583	4785668	4552893	4946205	5033494	4862761	4628819	4960274	4562930	4533863	4561493	3966656	3958893	3196516	3905277	4076624	4005337	4205052	2582965	2454428	1961239	2434089	2525854	2073448	1980967	2274297	2320446	1935673
C00383	35455602	37778372	35022650	39254624	40903347	189140586	182695924	171549977	186124313	194383232	69524620	67310040	69047072	69676519	73951054	246043045	229653525	222718788	218587844	210784127	133797846	126180480	132607927	121865241	133027295	20284858	18263899	20935647	19222185	23056025
C06124	1691129	7038755	6075387	7578310	1255417	1454255	4094985	1439828	5008283	1497993	1937408	7781084	6684264	1966769	7922204	744952	3086630	958598	675737	927354	1900190	587070	1973376	2422922	568508	3239880	879280	858425	2753657	532498
C00588	1216135464	1250284206	1288748731	1263281884	1202802104	770081167	727203371	791549911	800762978	771834688	993123126	855120081	959340043	960697130	946126393	784437476	745204893	772368215	776158286	762595407	1182569138	1187285803	1136687785	1286715740	1157009056	1712090881	1655530342	1769596821	1825456881	1704040804
C00318	823117795	818300643	829343643	826255760	822321866	786879918	721015171	738313290	757563421	790535353	375078148	353464231	387486330	385676610	371552771	649777947	626499745	607637165	619691716	614697723	509519275	508034290	521392975	546637437	543356022	421990387	426515919	420964366	428982977	410465355
C13914	77692865	72979945	73400328	74883688	75936048	70143720	72230683	74399165	71523977	71959099	74968580	74592879	72630695	71974259	74740268	74578185	76855064	70919215	73755438	72410886	71654186	74833648	76096132	74889593	73787189	76461097	74486645	78983502	75848394	75819630
C00836	273648018	267631937	265877358	273034220	282039573	267707023	280313912	270299526	277299534	282034593	285038901	272708100	269726524	282144923	280863462	276453925	279581377	286111613	280771368	287798170	282276020	295892441	290865953	292485517	291305203	315625701	314241925	324036286	314748464	320222542
C00114	84635518	120064187	94754647	106603857	62964550	88665803	95336052	66823091	85138816	73603300	85920261	78233115	80945440	116800951	126518358	123449702	155438235	103474979	177868684	182637738	137417550	99043542	93910970	108911987	90789650	56635766	130979027	59558166	135678448	63602026
C00319	15483523	12701784	13626139	12386443	13880461	16142497	9064835	8522179	9048472	8635299	9290472	9371953	9396072	9198307	8662753	9389539	1802552	7143827	9558189	13932162	10410355	9671099	11642291	10645935	10389473	26678275	21103336	23197239	21309591	18638457
C02934	96161800	98247117	95851391	94256783	93344896	94956913	96319743	90244346	90943447	88492570	87950038	92139073	87627073	92289868	87032549	81998991	77886256	77562679	76277960	76370128	76614940	77549291	74609129	74696436	72118954	70619113	70977263	68869015	67085798	71399058
C00307	49662533	42929950	67108314	47919927	44356875	9413838	10884446	8835219	5995398	5450625	7599337	9352823	8962280	8243575	7450890	31168154	36900827	21971940	28043902	20894859	5987108	3949992	5995515	2735500	2189219	13462713	8790437	10223184	12252012	9865705
