KEGG	SH-CON_vs_SH-H_p	SH-CON_vs_SH-H_fc	SH-NAC_vs_SH-H_p	SH-NAC_vs_SH-H_fc	SH-10_vs_SH-H_p	SH-10_vs_SH-H_fc	SH-100_vs_SH-H_p	SH-100_vs_SH-H_fc	SH-103_vs_SH-H_p	SH-103_vs_SH-H_fc	SH-100_vs_SH-NAC_p	SH-100_vs_SH-NAC_fc	SH-100_vs_SH-CON_p	SH-100_vs_SH-CON_fc	SH-100_vs_SH-10_p	SH-100_vs_SH-10_fc
C00064	0.00582155436679307	0.883927578081295	6.66261645337717e-06	0.389615435297762	7.70459624844333e-06	0.388674254145169	0.000556817465776587	0.811498110796598	2.78930823155555e-05	1.28268517865661	8.18357468467878e-08	2.08281817730454	0.00613478155045281	0.918059500483154	1.42254708555492e-07	2.08786175606451
C00669	0.100757775564348	1.04325708225428	0.000211123079378961	1.18672242822733	0.00882212625721322	0.913390794609927	0.0115555230360652	0.905360475000456	9.28872787026816e-05	0.709525879205072	1.40759239607039e-05	0.762908371381204	0.00123423446307871	0.867821067693255	0.763532330455634	0.99120823238327
C02727	1.5960805350562e-06	0.780446662990194	6.00550307515307e-07	1.73825345552869	2.2746913193795e-06	1.33075104084254	0.230127599645256	0.976540906357089	1.89745641463209e-07	0.163872249699107	5.84938605030204e-07	0.561794313281013	2.83410089049421e-06	1.25125899394019	1.59085073865611e-06	0.733826896531158
C00077	3.86088623396659e-07	8.30828969027838	0.00297285703392859	1.26243988465869	7.99503507586957e-07	2.30283053804708	2.16650012387951e-06	1.40273783387798	5.40059395015993e-10	2.68616976652425	0.0411485270176698	1.11113238018238	6.39957251672376e-07	0.168835932083512	1.45360430077024e-05	0.609136369655571
C02997	0.0327788260352009	1.47483211683884	0.000807397103493278	2.27380511038719	0.000208792186239311	2.70074988553869	0.00797648018145307	1.72008887004749	0.0706388769275811	1.36121401397764	7.09770673342678e-07	0.756480343099673	1.04466019400448e-05	1.16629469239817	2.06976569244225e-07	0.636893064129263
C00624	0.00520195676051899	2.74315311566509	4.58405003028333e-05	5.77348691168195	2.25942284544302e-06	6.47919076741108	0.00350276442028987	3.00889090321173	0.741975927970666	0.859450377382093	6.11274787956359e-07	0.521156616311645	0.0654012753014408	1.09687311511309	0.000117855406461541	0.464393010057027
C00979	0.185773164063617	0.93166360677657	5.99204956803298e-05	1.22051474272783	0.0283295513015836	1.11726729404048	0.0675662886431438	0.940963699541516	2.57470287116785e-06	0.592293771842612	3.89784204176953e-06	0.770956438787852	0.840502701928811	1.00998224326602	0.00486812138849011	0.842201060176588
C04368	0.518299582827079	0.956864879463961	0.00114820694934106	1.33977781099026	0.00552834002267748	1.50541730899954	0.634040407242484	0.960663775157195	0.00196072821555533	0.637109980032046	0.00142516424741136	0.717032158076377	0.958067873201729	1.00397014852856	0.00369928242570039	0.638137856801731
C00408	0.319890306923047	1.84927248818364	0.88056825122592	1.08890243581725	0.179187011914285	1.96494009696725	0.296652917577413	1.69266617836527	0.0486829805455598	4.6452971538756	0.351098644042549	1.55447000822886	0.853267266867008	0.915314638151467	0.701347269170586	0.861433985177348
C01035	0.0056287348229803	0.935231473149425	5.72870922009174e-08	0.650336976964509	4.6696455567118e-08	0.522778702463772	0.00643926353758444	0.937348719542976	3.4343823738355e-06	1.40837112822306	5.99672100447866e-08	1.44132773122961	0.896748700160583	1.0022638741898	1.51421030480676e-08	1.79301244508508
C01026	1.01416183442768e-05	1.69799554811435	8.41134122296645e-06	1.8983463145556	1.32680561420643e-05	1.85029840781722	2.43838457684479e-05	1.62320793672501	0.0377066948002775	0.845662171299424	0.0120427486272364	0.855064181007986	0.314241019360319	0.955955354846251	0.00700457123826439	0.877268190831932
C02946	0.163159708796114	1.63698689275649	0.819103089908768	1.16668529584734	0.377885017995526	1.63455631734343	0.624085714837099	1.1534286017796	0.00938759367844243	0.368190339744511	0.986140595142779	0.988637300808603	0.324876455749936	0.704604665366236	0.51477970592552	0.705652408265881
C00956	0.658410021140644	0.772774946390459	0.634629756561272	1.27135134994773	0.784914672483203	0.854962434776343	0.718825716710582	0.807411194852662	0.39055746288895	0.610160040690182	0.406426853273662	0.635081085087812	0.943281792287888	1.04482061514026	0.925367065605468	0.944382071083485
C00097	0.0106878820500882	0.683737532899862	0.0181691202120284	0.753526200282346	0.00666468075174088	0.668175516803552	0.00856631840014501	0.690817534100513	0.0912609106778233	0.839696098730096	0.110891662308652	0.91677971362066	0.923448346263851	1.01035485235193	0.395507883013878	1.03388633185076
C05932	5.32529416070721e-05	0.295323578113146	2.87966531073188e-07	0.387238323942449	7.92119641997926e-08	0.276295340236407	7.5946363666682e-08	0.247929446938217	5.63324542525716e-06	0.134645283414073	0.00206541616549222	0.640250284150761	0.488225508035435	0.839517956955098	0.425703693269494	0.897334883484032
C00489	0.00785719928517736	0.881413137229622	1.3301700915649e-05	0.626154304852347	2.34397399798763e-06	0.518261318398531	0.0482757559235219	0.924380520372943	0.000763806669663429	1.31557046389772	1.13011548370719e-06	1.47628230487199	0.129170081932201	1.04874828990906	1.12040265009022e-07	1.78361858691162
C00450	0.135449316745976	0.563960929446679	0.292901235373553	0.675551458317958	0.194226582875276	0.604943929222422	0.834860317305141	1.08710768182223	0.0981440639465589	0.505810025113811	0.334243885325334	1.60921520993973	0.215294608921104	1.92762942441567	0.258485302483141	1.79703874906153
C03145	0.120245387460343	0.842890267088238	1.24147638384784e-05	1.90458242800044	0.000106763042362808	1.84634832343161	0.265825436808353	1.13237985921695	0.00952935284408616	0.75017480920775	0.000282490522774488	0.594555448254237	0.0464793448367437	1.34344873043646	0.000579393663399699	0.613307816757085
C00355	0.0163267750810096	1.13657327009855	3.71341797054932e-07	2.11318489270535	2.76935368144391e-08	2.04993271734544	0.00305885193956072	1.21183210969415	1.61788034166223e-07	0.121461125487621	1.70697386364584e-06	0.573462413950317	0.121961507405867	1.06621556355014	1.26978902746522e-07	0.591157016735364
C06114	0.388794185920234	1.19003691488771	0.460563606231064	0.801211809195284	0.0396025358966772	0.402665053750183	0.548515109049359	0.873217848156741	0.0182975721078149	0.30381488033696	0.701212871584317	1.08987141494304	0.00402840176056688	0.733773748723702	0.0294638146462438	2.168596057751
C02218	0.0113767756960862	0.929700277472562	0.0108437889197423	2.37286586469239	0.00025043416286874	1.67892300957487	0.000217134212333725	1.12244853206327	5.24664670269778e-07	0.317609188818306	0.0148480128981723	0.473034969555171	2.80477920000378e-05	1.20732300426403	0.000401336982088698	0.668552712460288
C00041	0.702640355497365	1.21199867302273	0.534092458776242	1.44009566642223	0.363282643813132	1.67050344682449	0.446058477224119	1.39311436570609	0.535014655626629	1.35260141385928	0.948076481463664	0.967376264083301	0.757832619178099	1.14943555361464	0.707670621159335	0.833948812469862
C12270	2.42035171676386e-05	2.27730538067932	2.13372420195933e-07	2.91243931671767	2.69144374275623e-06	3.51943015051723	7.41045002678451e-06	1.94772342228924	0.18933800471603	1.02316053221557	7.57049985811062e-08	0.668760173339623	0.00288844361874895	0.85527546670453	7.94086185819094e-07	0.553420110355933
