c_number	entry	name	definition
C03758	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C05322	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C05220	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C06173	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C05179	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C01735	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C06167	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C06175	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C05178	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C01516	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C02105	M00944	Morphine_biosynthesis_S_reticuline_morphine	K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394
C02106	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C05174	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C06163	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C05191	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C05175	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C06162	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C02105	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C05190	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C05189	M00945	Sanguinarine_biosynthesis_S_reticuline_sanguinarine	K00307;K21070;K13395;K13396;K21692;K21693;K22089
C02106	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21589	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C02915	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C03329	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21591	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C04118	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21590	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C09592	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C20299	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21586	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21588	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C02105	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C21587	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C20297	M00946	Noscapine_biosynthesis_S_reticuline_noscapine	K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098
C00792	M00947	D_Arginine_racemization_D_arginine_L_arginine	K19746;K19744
C03771	M00947	D_Arginine_racemization_D_arginine_L_arginine	K19746;K19744
C00062	M00947	D_Arginine_racemization_D_arginine_L_arginine	K19746;K19744
C00026	M00948	Hydroxyproline_degradation_trans_4_hydroxy_L_proline_2_oxoglutarate	K12658;K21060;K22549;K21061;K22550;K21062;K13877
C01157	M00948	Hydroxyproline_degradation_trans_4_hydroxy_L_proline_2_oxoglutarate	K12658;K21060;K22549;K21061;K22550;K21062;K13877
C00433	M00948	Hydroxyproline_degradation_trans_4_hydroxy_L_proline_2_oxoglutarate	K12658;K21060;K22549;K21061;K22550;K21062;K13877
C03440	M00948	Hydroxyproline_degradation_trans_4_hydroxy_L_proline_2_oxoglutarate	K12658;K21060;K22549;K21061;K22550;K21062;K13877
C04282	M00948	Hydroxyproline_degradation_trans_4_hydroxy_L_proline_2_oxoglutarate	K12658;K21060;K22549;K21061;K22550;K21062;K13877
C22025	M00949	Staphylopine_biosynthesis_L_histidine_staphylopine	K01780;K23120;K23122
C00135	M00949	Staphylopine_biosynthesis_L_histidine_staphylopine	K01780;K23120;K23122
C06419	M00949	Staphylopine_biosynthesis_L_histidine_staphylopine	K01780;K23120;K23122
C22024	M00949	Staphylopine_biosynthesis_L_histidine_staphylopine	K01780;K23120;K23122
C22458	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
C01092	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
